gameID,Date,Team,RA_ROW,Opponent,Month,Year,Game,Home,B2B,Opp.B2B,Diff,PTS,Opp.PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,TRB,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FGM,Opp.FGA,Opp.FG%,Opp.3PM,Opp.3PA,Opp.3P%,Opp.FTM,Opp.FTA,Opp.FT%,Opp.ORB,Opp.TRB,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
1ATL41941,10/29/2014,ATL,FALSE,TOR,10,2014,1,0,0,0,-7,102,109,40,80,0.5,13,22,0.591,9,17,0.529,10,42,26,6,8,17,24,37,90,0.411,8,26,0.308,27,33,0.818,16,48,26,13,9,9,22
2ATL41944,11/1/2014,ATL,FALSE,IND,11,2014,2,1,0,1,10,102,92,35,69,0.507,7,20,0.35,25,33,0.758,3,37,26,10,6,12,20,31,81,0.383,12,32,0.375,18,21,0.857,11,44,25,5,5,18,26
3ATL41948,11/5/2014,ATL,FALSE,SAS,11,2014,3,0,0,0,-2,92,94,38,92,0.413,8,25,0.32,8,11,0.727,10,37,26,14,5,13,25,31,69,0.449,5,17,0.294,27,38,0.711,11,50,25,7,9,19,15
4ATL41950,11/7/2014,ATL,FALSE,CHO,11,2014,4,0,0,0,-3,119,122,43,93,0.462,13,33,0.394,20,26,0.769,7,38,28,8,3,19,33,48,97,0.495,6,21,0.286,20,27,0.741,11,51,31,6,7,19,30
5ATL41951,11/8/2014,ATL,FALSE,NYK,11,2014,5,1,1,1,7,103,96,33,81,0.407,9,22,0.409,28,36,0.778,12,41,18,10,5,8,17,40,84,0.476,8,21,0.381,8,11,0.727,13,44,26,2,6,15,29
6ATL41953,11/10/2014,ATL,FALSE,NYK,11,2014,6,0,0,0,6,91,85,27,71,0.38,10,27,0.37,27,28,0.964,9,38,20,7,3,15,16,36,83,0.434,6,26,0.231,7,12,0.583,11,40,23,4,2,15,26
7ATL41955,11/12/2014,ATL,FALSE,UTA,11,2014,7,1,0,0,3,100,97,39,76,0.513,9,20,0.45,13,18,0.722,13,46,23,8,4,18,12,43,86,0.5,5,23,0.217,6,12,0.5,8,30,28,12,8,11,17
8ATL41957,11/14/2014,ATL,FALSE,MIA,11,2014,8,1,0,0,11,114,103,42,75,0.56,11,28,0.393,19,23,0.826,3,36,33,10,5,13,20,35,74,0.473,10,21,0.476,23,25,0.92,5,32,27,10,3,14,20
9ATL41958,11/15/2014,ATL,FALSE,CLE,11,2014,9,0,1,1,-33,94,127,40,90,0.444,3,22,0.136,11,13,0.846,11,37,26,6,8,18,12,49,90,0.544,19,31,0.613,10,13,0.769,12,47,39,12,2,13,14
10ATL41961,11/18/2014,ATL,TRUE,LAL,11,2014,10,1,0,0,-5,109,114,41,85,0.482,9,27,0.333,18,23,0.783,13,38,22,7,3,10,17,47,87,0.54,6,17,0.353,14,22,0.636,13,44,24,7,0,11,24
11ATL41964,11/21/2014,ATL,TRUE,DET,11,2014,11,1,0,0,10,99,89,38,80,0.475,5,24,0.208,18,26,0.692,8,46,20,7,5,9,18,31,83,0.373,4,21,0.19,23,24,0.958,13,45,12,6,3,12,20
12ATL41968,11/25/2014,ATL,TRUE,WAS,11,2014,12,0,0,0,4,106,102,36,85,0.424,7,25,0.28,27,34,0.794,12,43,17,16,6,10,23,36,84,0.429,9,20,0.45,21,29,0.724,16,47,25,2,3,20,25
13ATL41969,11/26/2014,ATL,TRUE,TOR,11,2014,13,1,1,0,-11,115,126,42,82,0.512,10,24,0.417,21,24,0.875,9,32,31,2,4,13,24,42,82,0.512,14,29,0.483,28,33,0.848,11,36,24,7,7,11,24
14ATL41971,11/28/2014,ATL,TRUE,NOP,11,2014,14,1,0,0,9,100,91,38,76,0.5,5,17,0.294,19,22,0.864,11,42,26,6,7,18,14,36,89,0.404,7,24,0.292,12,16,0.75,16,42,23,8,4,12,19
15ATL41972,11/29/2014,ATL,TRUE,CHO,11,2014,15,1,1,1,30,105,75,40,75,0.533,12,23,0.522,13,16,0.813,5,44,31,8,5,12,17,29,88,0.33,5,23,0.217,12,16,0.75,13,38,20,3,4,12,16
16ATL41975,12/2/2014,ATL,TRUE,BOS,12,2014,16,1,0,0,4,109,105,43,82,0.524,11,24,0.458,12,14,0.857,4,31,36,8,8,16,14,41,84,0.488,12,23,0.522,11,13,0.846,9,42,33,10,3,21,20
17ATL41976,12/3/2014,ATL,TRUE,MIA,12,2014,17,0,1,0,10,112,102,40,74,0.541,12,25,0.48,20,23,0.87,5,30,25,9,1,16,24,36,64,0.563,6,16,0.375,24,32,0.75,4,30,25,10,5,18,24
18ATL41978,12/5/2014,ATL,TRUE,BRK,12,2014,18,0,0,0,23,98,75,35,81,0.432,13,34,0.382,15,24,0.625,6,46,22,12,4,10,22,30,80,0.375,3,18,0.167,12,19,0.632,9,51,16,4,2,17,21
19ATL41980,12/7/2014,ATL,TRUE,DEN,12,2014,19,1,0,0,12,96,84,36,87,0.414,10,27,0.37,14,19,0.737,11,43,26,9,4,12,15,34,93,0.366,6,35,0.171,10,13,0.769,16,52,25,9,4,14,22
20ATL41981,12/8/2014,ATL,TRUE,IND,12,2014,20,0,1,0,16,108,92,40,77,0.519,9,21,0.429,19,27,0.704,6,47,27,11,7,16,20,37,84,0.44,9,27,0.333,9,17,0.529,8,42,23,6,2,17,22
21ATL41983,12/10/2014,ATL,TRUE,PHI,12,2014,21,1,0,0,16,95,79,38,91,0.418,10,30,0.333,9,13,0.692,16,52,26,15,1,14,16,30,72,0.417,6,25,0.24,13,22,0.591,7,39,21,10,10,18,18
22ATL41985,12/12/2014,ATL,TRUE,ORL,12,2014,22,1,0,0,6,87,81,29,78,0.372,9,29,0.31,20,27,0.741,5,42,24,12,3,12,12,30,77,0.39,9,26,0.346,12,16,0.75,9,46,14,3,4,18,27
23ATL41986,12/13/2014,ATL,TRUE,ORL,12,2014,23,0,1,1,-1,99,100,35,84,0.417,8,27,0.296,21,24,0.875,9,41,24,4,4,10,19,37,74,0.5,10,21,0.476,16,21,0.762,7,36,26,6,6,15,15
24ATL41988,12/15/2014,ATL,TRUE,CHI,12,2014,24,1,0,1,7,93,86,36,83,0.434,7,21,0.333,14,17,0.824,5,40,26,10,7,9,17,35,93,0.376,6,29,0.207,10,14,0.714,15,57,18,3,6,14,17
