Date,Team,Tm.Id,RA_ROW,Opponent,Opp.Id,Month,Year,Game,Home,B2B,Opp.B2B,Diff,Win,PTS,FGM,FGA,3PM,3PA,FTM,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.ORB,Opp.Turnovers,Opp.FTA,Opp.FGA,Opp.PTS
10/29/2014,ATL,ATL41941,,TOR,TOR41941,10,2014,1,0,0,0,-7,0,102,40,80,13,22,9,17,10,42,26,6,8,17,24,16,9,33,90,109
11/1/2014,ATL,ATL41944,,IND,IND41944,11,2014,2,1,0,1,10,1,102,35,69,7,20,25,33,3,37,26,10,6,12,20,11,18,21,81,92
11/5/2014,ATL,ATL41948,,SAS,SAS41948,11,2014,3,0,0,0,-2,0,92,38,92,8,25,8,11,10,37,26,14,5,13,25,11,19,38,69,94
11/7/2014,ATL,ATL41950,,CHO,CHO41950,11,2014,4,0,0,0,-3,0,119,43,93,13,33,20,26,7,38,28,8,3,19,33,11,19,27,97,122
11/8/2014,ATL,ATL41951,,NYK,NYK41951,11,2014,5,1,1,1,7,1,103,33,81,9,22,28,36,12,41,18,10,5,8,17,13,15,11,84,96
11/10/2014,ATL,ATL41953,,NYK,NYK41953,11,2014,6,0,0,0,6,1,91,27,71,10,27,27,28,9,38,20,7,3,15,16,11,15,12,83,85
11/12/2014,ATL,ATL41955,,UTA,UTA41955,11,2014,7,1,0,0,3,1,100,39,76,9,20,13,18,13,46,23,8,4,18,12,8,11,12,86,97
11/14/2014,ATL,ATL41957,,MIA,MIA41957,11,2014,8,1,0,0,11,1,114,42,75,11,28,19,23,3,36,33,10,5,13,20,5,14,25,74,103
11/15/2014,ATL,ATL41958,,CLE,CLE41958,11,2014,9,0,1,1,-33,0,94,40,90,3,22,11,13,11,37,26,6,8,18,12,12,13,13,90,127
11/18/2014,ATL,ATL41961,,LAL,LAL41961,11,2014,10,1,0,0,-5,0,109,41,85,9,27,18,23,13,38,22,7,3,10,17,13,11,22,87,114
11/21/2014,ATL,ATL41964,TRUE,DET,DET41964,11,2014,11,1,0,0,10,1,99,38,80,5,24,18,26,8,46,20,7,5,9,18,13,12,24,83,89
11/25/2014,ATL,ATL41968,TRUE,WAS,WAS41968,11,2014,12,0,0,0,4,1,106,36,85,7,25,27,34,12,43,17,16,6,10,23,16,20,29,84,102
11/26/2014,ATL,ATL41969,TRUE,TOR,TOR41969,11,2014,13,1,1,0,-11,0,115,42,82,10,24,21,24,9,32,31,2,4,13,24,11,11,33,82,126
11/28/2014,ATL,ATL41971,TRUE,NOP,NOP41971,11,2014,14,1,0,0,9,1,100,38,76,5,17,19,22,11,42,26,6,7,18,14,16,12,16,89,91
11/29/2014,ATL,ATL41972,TRUE,CHO,CHO41972,11,2014,15,1,1,1,30,1,105,40,75,12,23,13,16,5,44,31,8,5,12,17,13,12,16,88,75
12/2/2014,ATL,ATL41975,TRUE,BOS,BOS41975,12,2014,16,1,0,0,4,1,109,43,82,11,24,12,14,4,31,36,8,8,16,14,9,21,13,84,105
12/3/2014,ATL,ATL41976,TRUE,MIA,MIA41976,12,2014,17,0,1,0,10,1,112,40,74,12,25,20,23,5,30,25,9,1,16,24,4,18,32,64,102
12/5/2014,ATL,ATL41978,TRUE,BRK,BRK41978,12,2014,18,0,0,0,23,1,98,35,81,13,34,15,24,6,46,22,12,4,10,22,9,17,19,80,75
12/7/2014,ATL,ATL41980,TRUE,DEN,DEN41980,12,2014,19,1,0,0,12,1,96,36,87,10,27,14,19,11,43,26,9,4,12,15,16,14,13,93,84
12/8/2014,ATL,ATL41981,TRUE,IND,IND41981,12,2014,20,0,1,0,16,1,108,40,77,9,21,19,27,6,47,27,11,7,16,20,8,17,17,84,92
12/10/2014,ATL,ATL41983,TRUE,PHI,PHI41983,12,2014,21,1,0,0,16,1,95,38,91,10,30,9,13,16,52,26,15,1,14,16,7,18,22,72,79
12/12/2014,ATL,ATL41985,TRUE,ORL,ORL41985,12,2014,22,1,0,0,6,1,87,29,78,9,29,20,27,5,42,24,12,3,12,12,9,18,16,77,81
12/13/2014,ATL,ATL41986,TRUE,ORL,ORL41986,12,2014,23,0,1,1,-1,0,99,35,84,8,27,21,24,9,41,24,4,4,10,19,7,15,21,74,100
12/15/2014,ATL,ATL41988,TRUE,CHI,CHI41988,12,2014,24,1,0,1,7,1,93,36,83,7,21,14,17,5,40,26,10,7,9,17,15,14,14,93,86
12/17/2014,ATL,ATL41990,TRUE,CLE,CLE41990,12,2014,25,0,0,0,29,1,127,49,76,16,28,13,16,6,40,36,3,5,9,17,10,8,21,82,98
12/20/2014,ATL,ATL41993,TRUE,HOU,HOU41993,12,2014,26,0,0,0,7,1,104,38,74,10,26,18,24,4,37,26,7,9,15,15,15,16,18,86,97
12/22/2014,ATL,ATL41995,TRUE,DAL,DAL41995,12,2014,27,0,0,0,3,1,105,40,81,7,19,18,27,6,43,26,6,6,17,21,13,15,20,90,102
12/23/2014,ATL,ATL41996,TRUE,LAC,LAC41996,12,2014,28,1,1,1,3,1,107,34,76,12,23,27,35,9,43,28,6,3,14,21,16,10,28,92,104
12/26/2014,ATL,ATL41999,TRUE,MIL,MIL41999,12,2014,29,1,0,0,-30,0,77,31,76,4,23,11,14,8,38,20,8,4,22,19,6,15,23,79,107
12/27/2014,ATL,ATL42000,TRUE,MIL,MIL42000,12,2014,30,0,1,1,5,1,90,33,90,9,29,15,19,17,51,25,9,4,11,17,13,19,14,80,85
12/30/2014,ATL,ATL42003,TRUE,CLE,CLE42003,12,2014,31,1,0,0,8,1,109,40,79,10,29,19,26,7,44,23,13,5,15,19,11,18,21,84,101
1/2/2015,ATL,ATL42006,TRUE,UTA,UTA42006,1,2015,32,0,0,0,6,1,98,33,81,6,23,26,30,11,47,24,9,3,10,17,17,14,24,86,92
1/3/2015,ATL,ATL42007,TRUE,POR,POR42007,1,2015,33,0,1,0,8,1,115,43,84,6,17,23,31,10,46,17,9,5,14,15,11,18,12,93,107
1/5/2015,ATL,ATL42009,TRUE,LAC,LAC42009,1,2015,34,0,0,0,9,1,107,36,81,13,27,22,33,7,41,25,13,2,12,23,8,21,33,74,98
1/7/2015,ATL,ATL42011,TRUE,MEM,MEM42011,1,2015,35,1,0,0,10,1,96,32,72,13,25,19,23,8,37,21,17,4,17,15,8,21,11,79,86
1/9/2015,ATL,ATL42013,TRUE,DET,DET42013,1,2015,36,0,0,0,3,1,106,40,82,10,23,16,24,6,49,27,3,3,14,13,11,7,18,96,103
1/11/2015,ATL,ATL42015,TRUE,WAS,WAS42015,1,2015,37,1,0,0,31,1,120,42,89,16,31,20,24,13,42,34,14,3,8,15,8,19,15,76,89
1/13/2015,ATL,ATL42017,TRUE,PHI,PHI42017,1,2015,38,0,0,0,18,1,105,42,87,12,23,9,16,15,47,34,6,3,16,17,12,18,25,76,87
1/14/2015,ATL,ATL42018,TRUE,BOS,BOS42018,1,2015,39,0,1,0,14,1,105,36,73,10,29,23,27,6,35,23,13,7,12,12,13,16,14,83,91
1/16/2015,ATL,ATL42020,TRUE,TOR,TOR42020,1,2015,40,0,0,0,21,1,110,42,69,12,23,14,16,4,32,30,7,6,17,17,12,17,17,82,89
1/17/2015,ATL,ATL42021,TRUE,CHI,CHI42021,1,2015,41,0,1,1,8,1,107,40,84,11,26,16,21,9,40,31,10,7,9,19,7,13,20,80,99
1/19/2015,ATL,ATL42023,TRUE,DET,DET42023,1,2015,42,1,0,0,11,1,93,37,84,9,30,10,14,5,42,31,8,1,10,19,20,18,26,82,82
1/21/2015,ATL,ATL42025,TRUE,IND,IND42025,1,2015,43,1,0,0,19,1,110,39,78,13,29,19,26,9,43,30,12,3,16,23,10,18,26,78,91
1/23/2015,ATL,ATL42027,TRUE,OKC,OKC42027,1,2015,44,1,0,0,10,1,103,40,83,10,25,13,13,10,47,27,6,5,16,13,9,11,18,87,93
1/25/2015,ATL,ATL42029,TRUE,MIN,MIN42029,1,2015,45,1,0,0,12,1,112,45,80,10,28,12,18,8,29,30,8,5,10,20,11,13,25,71,100
1/28/2015,ATL,ATL42032,TRUE,BRK,BRK42032,1,2015,46,1,0,0,11,1,113,38,82,12,33,25,26,12,45,29,4,4,11,18,9,8,18,87,102
1/30/2015,ATL,ATL42034,TRUE,POR,POR42034,1,2015,47,1,0,0,6,1,105,40,84,11,23,14,22,7,42,26,12,4,13,17,9,17,11,87,99
1/31/2015,ATL,ATL42035,TRUE,PHI,PHI42035,1,2015,48,1,1,1,6,1,91,34,78,10,28,13,18,8,44,20,6,5,12,16,10,14,15,81,85
2/2/2015,ATL,ATL42037,TRUE,NOP,NOP42037,2,2015,49,0,0,0,-15,0,100,40,89,7,22,13,17,9,32,19,6,3,6,15,17,13,23,86,115
2/4/2015,ATL,ATL42039,TRUE,WAS,WAS42039,2,2015,50,1,0,0,9,1,105,38,80,11,25,18,27,9,46,24,7,2,14,22,5,12,30,77,96
2/6/2015,ATL,ATL42041,TRUE,GSW,GSW42041,2,2015,51,1,0,0,8,1,124,38,77,15,27,33,37,4,38,28,13,4,13,19,19,14,15,103,116
2/8/2015,ATL,ATL42043,TRUE,MEM,MEM42043,2,2015,52,0,0,0,-6,0,88,33,80,12,30,10,11,3,37,17,6,5,14,16,17,11,21,92,94
2/9/2015,ATL,ATL42044,TRUE,MIN,MIN42044,2,2015,53,0,1,1,12,1,117,44,86,10,21,19,20,10,36,26,14,6,10,21,23,16,22,93,105
2/11/2015,ATL,ATL42046,TRUE,BOS,BOS42046,2,2015,54,0,0,0,-1,0,88,33,78,7,29,15,23,5,44,23,6,5,12,17,16,10,20,93,89
2/20/2015,ATL,ATL42055,TRUE,TOR,TOR42055,2,2015,55,1,0,0,-25,0,80,29,88,8,38,14,21,17,52,19,6,8,22,10,15,13,8,96,105
2/22/2015,ATL,ATL42057,TRUE,MIL,MIL42057,2,2015,56,0,0,0,11,1,97,35,87,9,30,18,21,16,43,23,10,7,20,17,8,24,18,72,86
2/25/2015,ATL,ATL42060,TRUE,DAL,DAL42060,2,2015,57,1,0,1,17,1,104,39,85,13,35,13,16,10,41,28,7,2,11,18,13,15,18,80,87
2/27/2015,ATL,ATL42062,TRUE,ORL,ORL42062,2,2015,58,1,0,0,7,1,95,36,81,14,31,9,12,11,42,27,11,5,18,12,10,17,13,80,88
2/28/2015,ATL,ATL42063,TRUE,MIA,MIA42063,2,2015,59,0,1,1,2,1,93,34,79,10,25,15,20,8,37,23,12,5,18,19,14,23,21,81,91
3/3/2015,ATL,ATL42066,TRUE,HOU,HOU42066,3,2015,60,1,0,0,8,1,104,39,86,8,29,18,21,9,49,23,3,6,15,13,8,12,9,90,96
3/6/2015,ATL,ATL42069,TRUE,CLE,CLE42069,3,2015,61,1,0,0,9,1,106,43,84,6,21,14,17,11,38,27,10,4,12,22,10,17,33,69,97
3/7/2015,ATL,ATL42070,TRUE,PHI,PHI42070,3,2015,62,0,1,1,-8,0,84,30,77,11,25,13,16,5,42,20,8,9,19,14,17,16,17,95,92
3/9/2015,ATL,ATL42072,TRUE,SAC,SAC42072,3,2015,63,1,0,0,25,1,130,53,88,20,36,4,7,10,33,42,8,6,13,18,16,16,20,81,105
3/11/2015,ATL,ATL42074,TRUE,DEN,DEN42074,3,2015,64,0,0,0,-13,0,102,34,81,9,27,25,27,8,32,18,11,3,17,18,11,19,20,84,115
3/13/2015,ATL,ATL42076,TRUE,PHO,PHO42076,3,2015,65,0,0,0,9,1,96,39,83,8,18,10,12,7,38,22,11,6,11,20,11,18,21,78,87
3/15/2015,ATL,ATL42078,TRUE,LAL,LAL42078,3,2015,66,0,0,0,5,1,91,34,76,5,23,18,27,7,34,25,9,6,10,14,19,21,15,85,86
3/16/2015,ATL,ATL42079,TRUE,SAC,SAC42079,3,2015,67,0,1,0,7,1,110,38,84,12,31,22,30,9,39,25,11,5,12,24,9,20,25,81,103
3/18/2015,ATL,ATL42081,TRUE,GSW,GSW42081,3,2015,68,0,0,0,-19,0,95,31,87,8,22,25,30,15,44,24,14,4,15,20,10,18,20,84,114
3/20/2015,ATL,ATL42083,TRUE,OKC,OKC42083,3,2015,69,0,0,0,-8,0,115,41,82,13,29,20,25,7,34,20,9,4,11,16,10,12,26,84,123
3/22/2015,ATL,ATL42085,TRUE,SAS,SAS42085,3,2015,70,1,0,0,-19,0,95,38,80,12,24,7,7,6,29,25,13,2,18,15,10,16,17,82,114
3/25/2015,ATL,ATL42088,TRUE,ORL,ORL42088,3,2015,71,0,0,0,12,1,95,39,90,10,31,7,10,12,45,21,9,8,13,17,10,17,20,78,83
3/27/2015,ATL,ATL42090,TRUE,MIA,MIA42090,3,2015,72,1,0,0,13,1,99,37,72,6,18,19,24,5,38,31,12,4,16,13,11,18,15,82,86
3/28/2015,ATL,ATL42091,TRUE,CHO,CHO42091,3,2015,73,0,1,1,-15,0,100,37,86,15,30,11,14,7,36,32,6,4,10,17,7,8,22,80,115
3/30/2015,ATL,ATL42093,TRUE,MIL,MIL42093,3,2015,74,1,0,0,13,1,101,36,79,9,29,20,24,12,42,29,5,4,11,20,13,11,23,75,88
3/31/2015,ATL,ATL42094,TRUE,DET,DET42094,3,2015,75,0,1,0,-10,0,95,40,84,8,25,7,10,12,43,25,8,0,17,14,9,11,17,83,105
4/4/2015,ATL,ATL42098,TRUE,BRK,BRK42098,4,2015,76,1,0,1,32,1,131,49,82,17,33,16,19,7,34,40,15,4,12,16,12,21,17,80,99
4/7/2015,ATL,ATL42101,TRUE,PHO,PHO42101,4,2015,77,1,0,0,27,1,96,41,83,4,25,10,14,8,54,21,9,4,15,17,9,15,18,83,69
4/8/2015,ATL,ATL42102,TRUE,BRK,BRK42102,4,2015,78,0,1,0,3,1,114,43,86,11,28,17,25,10,40,35,11,4,11,18,14,12,25,87,111
