actual,line,opp.line,outcomeline1,outcomeline2,PredProba,PredProba.opp,EV_1,EV_2,BestEV,makeBet,Bet,Net
0,210,-250,2100.0,400.0,0.313873715454379,0.6861262845456211,659.1348024541959,274.45051381824845,659.1348024541959,False,1,-1000.0
0,460,-600,4600.0,166.66666666666669,0.18867563331269618,0.8113243666873038,867.9079132384024,135.2207277812173,867.9079132384024,False,1,-1000.0
1,-215,180,465.1162790697675,1800.0,0.6262319327366701,0.3737680672633299,291.2706663891489,672.7825210739938,672.7825210739938,False,0,-1000.0
0,170,-195,1700.0,512.8205128205128,0.39425002804166603,0.6057499719583339,670.2250476708323,310.6410112606841,670.2250476708323,False,1,-1000.0
0,525,-750,5250.0,133.33333333333331,0.20838578794503176,0.7916142120549683,1094.0253867114168,105.54856160732909,1094.0253867114168,True,1,-1000.0
0,-130,110,769.2307692307693,1100.0,0.5749495098422579,0.4250504901577421,442.2688537248138,467.5555391735163,467.5555391735163,False,0,467.5555391735163
1,-330,260,303.030303030303,2600.0,0.7115699787812974,0.28843002121870265,215.6272662973628,749.9180551686269,749.9180551686269,False,0,-1000.0
0,175,-210,1750.0,476.1904761904762,0.4217241682677887,0.5782758317322113,738.0172944686302,275.3694436820054,738.0172944686302,False,1,-1000.0
0,400,-550,4000.0,181.8181818181818,0.26403812313765024,0.7359618768623497,1056.152492550601,133.81125033860903,1056.152492550601,True,1,-1000.0
0,200,-240,2000.0,416.6666666666667,0.332915945719615,0.667084054280385,665.83189143923,277.95168928349375,665.83189143923,False,1,-1000.0
1,-600,450,166.66666666666669,4500.0,0.827142919066446,0.172857080933554,137.85715317774103,777.8568642009931,777.8568642009931,False,0,-1000.0
0,260,-325,2600.0,307.69230769230774,0.315710216641548,0.684289783358452,820.8465632680249,210.55070257183144,820.8465632680249,False,1,-1000.0
0,110,-130,1100.0,769.2307692307693,0.40939613983737944,0.5906038601626206,450.3357538211174,454.3106616635543,454.3106616635543,False,0,454.3106616635543
1,-142,122,704.2253521126761,1220.0,0.5984423420834982,0.4015576579165018,421.4382690728861,489.90034265813216,489.90034265813216,False,0,-1000.0
1,-250,210,400.0,2100.0,0.6761698175256,0.3238301824744,270.46792701024003,680.0433831962399,680.0433831962399,False,0,-1000.0
1,-180,155,555.5555555555555,1550.0,0.6177667644458791,0.3822332355541209,343.20375802548836,592.4615151088874,592.4615151088874,False,0,-1000.0
1,-260,220,384.61538461538464,2200.0,0.6518005015161774,0.3481994984838226,250.69250058314518,766.0388966644097,766.0388966644097,False,0,-1000.0
1,-115,-105,869.5652173913043,952.3809523809524,0.4637731291410634,0.5362268708589366,403.2809818617942,510.69225796089205,510.69225796089205,False,0,-1000.0
0,360,-430,3600.0,232.55813953488374,0.27304984861982895,0.726950151380171,982.9794550313842,169.05817473957467,982.9794550313842,False,1,-1000.0
0,-160,140,625.0,1400.0,0.5766746680416218,0.4233253319583782,360.42166752601366,592.6554647417295,592.6554647417295,False,0,592.6554647417295
1,-700,500,142.85714285714286,5000.0,0.8250103147142868,0.17498968528571324,117.85861638775526,874.9484264285662,874.9484264285662,False,0,-1000.0
0,-400,300,250.0,3000.0,0.660975373259621,0.33902462674037903,165.24384331490523,1017.0738802211371,1017.0738802211371,True,0,1017.0738802211371
1,165,-200,1650.0,500.0,0.3866978842874772,0.6133021157125228,638.0515090743373,306.6510578562614,638.0515090743373,False,1,638.0515090743373
1,190,-240,1900.0,416.6666666666667,0.3393599027816448,0.6606400972183553,644.7838152851251,275.2667071743147,644.7838152851251,False,1,644.7838152851251
1,-145,125,689.655172413793,1250.0,0.5636831383270278,0.43631686167297223,388.7469919496743,545.3960770912153,545.3960770912153,False,0,-1000.0
1,-1400,800,71.42857142857143,8000.0,0.9564731319870846,0.04352686801291539,68.3195094276489,348.2149441033231,348.2149441033231,False,0,-1000.0
1,115,-135,1150.0,740.7407407407408,0.41031409375282174,0.5896859062471782,471.861207815745,436.8043749979098,471.861207815745,False,1,471.861207815745
0,395,-520,3950.0,192.30769230769232,0.26431261493595265,0.7356873850640473,1044.034828997013,141.47834328154755,1044.034828997013,True,1,-1000.0
0,-550,400,181.8181818181818,4000.0,0.7908541610892843,0.2091458389107157,143.79166565259715,836.5833556428628,836.5833556428628,False,0,836.5833556428628
0,450,-650,4500.0,153.84615384615387,0.1854916861611285,0.8145083138388716,834.7125877250782,125.30897135982642,834.7125877250782,False,1,-1000.0
0,500,-700,5000.0,142.85714285714286,0.19564547566085833,0.8043545243391417,978.2273783042916,114.90778919130595,978.2273783042916,False,1,-1000.0
0,375,-450,3750.0,222.22222222222223,0.21902439661466813,0.7809756033853319,821.3414873050054,173.5501340856293,821.3414873050054,False,1,-1000.0
0,800,-1400,8000.0,71.42857142857143,0.06693203324313184,0.9330679667568682,535.4562659450547,66.64771191120488,535.4562659450547,False,1,-1000.0
1,-145,125,689.655172413793,1250.0,0.524532425381863,0.47546757461813705,361.7465002633537,594.3344682726713,594.3344682726713,False,0,-1000.0
0,750,-1200,7500.0,83.33333333333334,0.0923582434729482,0.9076417565270518,692.6868260471115,75.636813043921,692.6868260471115,False,1,-1000.0
1,-2485,1535,40.24144869215292,15350.0,0.9919268384187928,0.008073161581207189,39.91657297459931,123.92303027153035,123.92303027153035,False,0,-1000.0
1,-1400,900,71.42857142857143,9000.0,0.9506345380002733,0.04936546199972669,67.90246700001953,444.2891579975402,444.2891579975402,False,0,-1000.0
1,-140,120,714.2857142857143,1200.0,0.6021923667935156,0.3978076332064844,430.13740485251117,477.36915984778125,477.36915984778125,False,0,-1000.0
0,-245,205,408.16326530612247,2050.0,0.6308783949055982,0.36912160509440184,257.50138567575436,756.6992904435238,756.6992904435238,False,0,756.6992904435238
0,190,-240,1900.0,416.6666666666667,0.3542437663520642,0.6457562336479358,673.063156068922,269.0650973533066,673.063156068922,False,1,-1000.0
