Date,Team,Tm.Id,Opponent,Opp.Id,Month,Year,Game,Home,B2B,Opp.B2B,Line,Opp.Line,Diff,Win,PTS,mean_Diff,mean_Win,mean_PTS,mean_FGM,mean_FGA,mean_3PM,mean_3PA,mean_FTM,mean_FTA,mean_ORB,mean_TRB,mean_Assists,mean_Steals,mean_Blocks,mean_Turnovers,mean_TotalFouls,mean_Diff_Opp,mean_Win_Opp,mean_PTS_Opp,mean_FGM_Opp,mean_FGA_Opp,mean_3PM_Opp,mean_3PA_Opp,mean_FTM_Opp,mean_FTA_Opp,mean_ORB_Opp,mean_TRB_Opp,mean_Assists_Opp,mean_Steals_Opp,mean_Blocks_Opp,mean_Turnovers_Opp,mean_TotalFouls_Opp,FG%,3P%,FT%,FG%_Opp,3P%_Opp,FT%_Opp,AstTO,Ast%,AstTO_Opp,Ast%_Opp,OFF_Rtng,OFF_Rtng_Opp,DEF_Rtng,DEF_Rtng_Opp,NET_Rtng,NET_Rtng_Opp
11/17/2014,DET,DET41960,ORL,ORL41960,11,2014,11,1,0,0,-195,170,-14,0,93,-3.8,0.3,93,35,83.8,7.9,22.6,15.1,22.8,12,46.1,18.1,5,4.7,12.4,21.3,-1.6,0.4,97.3,38.1,80.4,7,17.2,14.1,20.2,8.6,41.6,20.6,6,3.6,16.1,23.2,0.417661098,0.349557522,0.662280702,0.473880597,0.406976744,0.698019802,1.459677419,0.517142857,1.279503106,0.540682415,99.65709387,101.3752865,103.9965621,104.1710554,-4.339468227,-2.795768885
11/17/2014,MEM,MEM41960,HOU,HOU41960,11,2014,11,1,0,1,-185,160,26,1,119,5.1,0.9,96.4,35.3,80.1,5.3,14.3,20.5,25.8,10.9,40.6,20,8.5,3,12.2,20.2,9.4,0.9,98.3,32.9,77.4,11.8,32.7,20.7,30.1,12.6,44.7,19.2,9.3,5.8,17.6,23.7,0.440699126,0.370629371,0.794573643,0.425064599,0.360856269,0.687707641,1.639344262,0.566572238,1.090909091,0.583586626,105.1024858,104.0872512,99.04534606,94.03427121,6.057139764,10.05297996
11/17/2014,DAL,DAL41960,CHO,CHO41960,11,2014,11,0,0,0,-175,155,27,1,107,9.5,0.7,109.5,41.6,84.9,8.8,25.3,17.5,21.8,10.6,39.8,23.7,7.9,6,10.9,20.9,-3.6,0.4,96.1,36.1,83.1,5.7,17.3,18.2,24.6,10,43,20.7,6.1,4,12.8,18.3,0.489988221,0.347826087,0.802752294,0.434416366,0.329479769,0.739837398,2.174311927,0.569711538,1.6171875,0.573407202,116.588586,100.3760184,105.9322034,104.1362022,10.65638264,-3.760183831
11/17/2014,CHO,CHO41960,DAL,DAL41960,11,2014,11,1,0,0,155,-175,-27,0,80,-3.6,0.4,96.1,36.1,83.1,5.7,17.3,18.2,24.6,10,43,20.7,6.1,4,12.8,18.3,9.5,0.7,109.5,41.6,84.9,8.8,25.3,17.5,21.8,10.6,39.8,23.7,7.9,6,10.9,20.9,0.434416366,0.329479769,0.739837398,0.489988221,0.347826087,0.802752294,1.6171875,0.573407202,2.174311927,0.569711538,100.3760184,116.588586,104.1362022,105.9322034,-3.760183831,10.65638264
11/17/2014,HOU,HOU41960,MEM,MEM41960,11,2014,11,0,1,0,160,-185,-26,0,93,9.4,0.9,98.3,32.9,77.4,11.8,32.7,20.7,30.1,12.6,44.7,19.2,9.3,5.8,17.6,23.7,5.1,0.9,96.4,35.3,80.1,5.3,14.3,20.5,25.8,10.9,40.6,20,8.5,3,12.2,20.2,0.425064599,0.360856269,0.687707641,0.440699126,0.370629371,0.794573643,1.090909091,0.583586626,1.639344262,0.566572238,104.0872512,105.1024858,94.03427121,99.04534606,10.05297996,6.057139764
11/17/2014,ORL,ORL41960,DET,DET41960,11,2014,12,0,0,0,170,-195,14,1,107,-1.6,0.4,97.3,38.1,80.4,7,17.2,14.1,20.2,8.6,41.6,20.6,6,3.6,16.1,23.2,-3.8,0.3,93,35,83.8,7.9,22.6,15.1,22.8,12,46.1,18.1,5,4.7,12.4,21.3,0.473880597,0.406976744,0.698019802,0.417661098,0.349557522,0.662280702,1.279503106,0.540682415,1.459677419,0.517142857,101.3752865,99.65709387,104.1710554,103.9965621,-2.795768885,-4.339468227
11/18/2014,UTA,UTA41961,OKC,OKC41961,11,2014,12,1,0,0,-150,130,17,1,98,-4.7,0.4,98,35.9,77,7.9,23.4,18.3,23.9,10.2,40.4,22.3,6.2,4.9,14.1,19.3,-3.2,0.3,89.6,33.1,78.2,7.5,22.7,15.9,22.4,9.8,43.1,19.1,5,5.1,15.4,21.9,0.466233766,0.337606838,0.765690377,0.423273657,0.330396476,0.709821429,1.581560284,0.621169916,1.24025974,0.577039275,108.3351758,96.59335921,112.1179039,101.9556142,-3.782728162,-5.362254944
11/18/2014,MIL,MIL41961,NYK,NYK41961,11,2014,11,1,0,0,-125,105,4,1,117,-0.8,0.5,91.8,35.9,82,5.5,18.6,14.5,19.4,11,42.8,21,9.3,5.3,16.2,23.6,-2.2,0.3,95.3,37.5,81.9,7.2,17.4,13.1,16.9,10.8,39.7,21.3,5.8,3.4,12.8,25.2,0.437804878,0.295698925,0.74742268,0.457875458,0.413793103,0.775147929,1.296296296,0.584958217,1.6640625,0.568,96.67228307,105.1180234,96.67989142,108.5021144,-0.007608351,-3.384091016
11/18/2014,NYK,NYK41961,MIL,MIL41961,11,2014,12,0,0,0,105,-125,-4,0,113,-2.2,0.3,95.3,37.5,81.9,7.2,17.4,13.1,16.9,10.8,39.7,21.3,5.8,3.4,12.8,25.2,-0.8,0.5,91.8,35.9,82,5.5,18.6,14.5,19.4,11,42.8,21,9.3,5.3,16.2,23.6,0.457875458,0.413793103,0.775147929,0.437804878,0.295698925,0.74742268,1.6640625,0.568,1.296296296,0.584958217,105.1180234,96.67228307,108.5021144,96.67989142,-3.384091016,-0.007608351
11/18/2014,OKC,OKC41961,UTA,UTA41961,11,2014,12,0,0,0,130,-150,-17,0,81,-3.2,0.3,89.6,33.1,78.2,7.5,22.7,15.9,22.4,9.8,43.1,19.1,5,5.1,15.4,21.9,-4.7,0.4,98,35.9,77,7.9,23.4,18.3,23.9,10.2,40.4,22.3,6.2,4.9,14.1,19.3,0.423273657,0.330396476,0.709821429,0.466233766,0.337606838,0.765690377,1.24025974,0.577039275,1.581560284,0.621169916,96.59335921,108.3351758,101.9556142,112.1179039,-5.362254944,-3.782728162
11/19/2014,HOU,HOU41962,LAL,LAL41962,11,2014,12,1,0,1,-600,450,-6,0,92,5,0.8,96.8,33.2,77.9,11.4,33.2,19,27.2,12.2,43.5,19.4,9.2,5.9,18.4,22.6,-8.2,0.2,104,38.7,85.8,5.2,16.8,21.4,28.6,13.4,41.6,20.4,7.6,3.8,12.5,22.8,0.42618742,0.343373494,0.698529412,0.451048951,0.30952381,0.748251748,1.054347826,0.584337349,1.632,0.527131783,101.9161929,107.9510069,97.08121827,117.4131436,4.834974609,-9.462136724
11/19/2014,DEN,DEN41962,OKC,OKC41962,11,2014,11,1,0,1,-330,270,7,1,107,-5.6,0.3,101.5,36.9,86,8.4,25.5,19.3,25.9,12,43.4,20.4,6.6,4.9,14.1,25.1,-4.6,0.3,88.7,33.3,80.1,7.7,22.9,14.4,20.9,10.2,42.8,18.5,5.3,5.5,14.5,21.4,0.429069767,0.329411765,0.745173745,0.415730337,0.336244541,0.688995215,1.446808511,0.552845528,1.275862069,0.555555556,103.0875482,95.62311341,109.0631365,102.6854501,-5.975588213,-7.062336732
11/19/2014,BRK,BRK41962,MIL,MIL41962,11,2014,11,1,0,1,-285,235,-4,0,118,0.1,0.4,100.1,37.7,81.2,7.3,20.6,17.4,21.9,9.6,41.4,19,7.3,4.2,13.6,22.2,-0.2,0.6,92.9,36.3,81.8,5.7,18.9,14.6,19.7,12.4,43.7,21.5,8.9,4.3,16.4,23.5,0.464285714,0.354368932,0.794520548,0.443765281,0.301587302,0.741116751,1.397058824,0.50397878,1.31097561,0.592286501,106.5346956,99.16737831,106.5189604,99.16915211,0.01573524,-0.0017738
11/19/2014,TOR,TOR41962,MEM,MEM41962,11,2014,11,1,0,0,-255,215,4,1,96,9.6,0.8,106,37.2,82.6,7.2,21.6,24.4,31.1,10.3,39.7,18.1,8.5,4.9,11,22.1,7.3,0.9,97.8,35.6,80.5,5.6,14.5,21,26,10.9,41.1,20.6,8.9,3,11.5,20,0.450363196,0.333333333,0.784565916,0.442236025,0.386206897,0.807692308,1.645454545,0.48655914,1.791304348,0.578651685,110.7165239,106.8852459,102.8815368,98.36956522,7.834987099,8.515680684
11/19/2014,PHO,PHO41962,DET,DET41962,11,2014,12,0,0,0,-145,125,2,1,88,-2.6,0.5,103.9,38.2,87,8.1,25.3,19.4,23.3,10.1,42.4,20.1,7.6,4.5,14.1,24.2,-4.2,0.3,94.4,35.1,83.4,8.4,22.4,15.8,23.3,12.2,45.7,18.3,5.1,4.6,12.3,20.5,0.43908046,0.320158103,0.832618026,0.420863309,0.375,0.678111588,1.425531915,0.52617801,1.487804878,0.521367521,103.5685805,101.7022193,107.0782224,106.8950564,-3.509641859,-5.192837025
11/19/2014,IND,IND41962,CHO,CHO41962,11,2014,12,1,0,0,-135,115,2,1,88,-3.1,0.3,90.8,34.4,81.9,7.6,22.8,14.4,19.4,12.3,45.9,17.3,3.9,5.6,15.1,20.3,-6.5,0.3,93.3,35.2,81,6.1,17.4,16.8,23,9.2,41.5,20.2,5.4,3.4,12.9,18,0.42002442,0.333333333,0.742268041,0.434567901,0.350574713,0.730434783,1.145695364,0.502906977,1.565891473,0.573863636,98.20462903,99.36102236,102.915388,105.6979454,-4.710758959,-6.336922986
11/19/2014,CHO,CHO41962,IND,IND41962,11,2014,12,0,0,0,115,-135,-2,0,86,-6.5,0.3,93.3,35.2,81,6.1,17.4,16.8,23,9.2,41.5,20.2,5.4,3.4,12.9,18,-3.1,0.3,90.8,34.4,81.9,7.6,22.8,14.4,19.4,12.3,45.9,17.3,3.9,5.6,15.1,20.3,0.434567901,0.350574713,0.730434783,0.42002442,0.333333333,0.742268041,1.565891473,0.573863636,1.145695364,0.502906977,99.36102236,98.20462903,105.6979454,102.915388,-6.336922986,-4.710758959
